sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_label
5.3,3.7,1.1,0.4,setosa
4.9,3.5,1.9,0.4,setosa
7.3,3.9,1.5,0.3,setosa
5.1,3.6,1.3,0.3,setosa
5.4,3.6,1.6,0.2,setosa
5.4,4.0,1.6,0.2,setosa
5.0,2.6,1.6,0.3,setosa
5.2,3.5,1.8,0.3,setosa
5.0,3.2,1.2,0.2,setosa
5.1,4.7,2.1,0.4,setosa
4.9,3.2,1.4,0.4,setosa
7.3,4.2,1.2,0.1,setosa
4.1,4.0,1.4,0.2,setosa
6.3,3.8,1.5,0.3,setosa
7.4,2.0,1.6,0.2,setosa
4.8,3.6,1.5,0.3,setosa
6.8,3.2,1.3,0.3,setosa
5.4,3.3,1.6,0.2,setosa
5.0,2.6,1.7,0.3,setosa
5.0,3.7,2.0,0.2,setosa
7.3,3.2,1.0,0.3,setosa
4.6,3.4,1.7,0.2,setosa
6.8,3.2,1.4,0.3,setosa
3.6,3.0,1.5,0.2,setosa
5.0,3.1,1.7,0.3,setosa
3.6,3.7,1.6,0.1,setosa
4.1,3.5,1.4,0.3,setosa
5.9,3.2,2.0,0.4,setosa
4.8,2.4,1.4,0.3,setosa
5.6,4.5,1.9,0.3,setosa
5.5,3.1,1.0,0.2,setosa
6.7,3.3,1.3,0.3,setosa
6.9,1.8,1.6,0.3,setosa
6.6,4.9,1.3,0.1,setosa
5.0,4.7,0.8,0.2,setosa
5.3,4.7,1.3,0.2,setosa
3.4,2.2,1.1,0.1,setosa
5.4,3.2,1.3,0.4,setosa
4.5,3.0,1.4,0.2,setosa
3.6,2.4,2.0,0.3,setosa
5.9,4.3,1.6,0.1,setosa
5.4,3.3,2.1,0.3,setosa
4.1,2.8,1.5,0.3,setosa
3.4,3.3,1.2,0.2,setosa
5.1,4.0,1.5,0.3,setosa
6.8,1.8,1.8,0.3,setosa
5.0,2.6,0.8,0.4,setosa
5.7,3.5,1.5,0.3,setosa
6.3,4.8,1.5,0.2,setosa
4.6,4.2,1.5,0.3,setosa
5.1,2.5,3.9,1.2,versicolor
6.6,3.2,4.7,1.8,versicolor
5.8,2.7,5.9,0.9,versicolor
5.5,3.3,4.5,1.0,versicolor
8.6,2.9,4.3,1.0,versicolor
8.1,2.3,4.8,1.1,versicolor
6.8,2.7,4.9,1.0,versicolor
6.2,3.4,4.4,1.5,versicolor
8.4,3.0,5.1,0.7,versicolor
6.9,2.8,4.1,1.4,versicolor
3.7,2.5,4.0,1.2,versicolor
6.2,3.0,3.2,1.1,versicolor
4.6,2.6,3.3,1.0,versicolor
5.7,3.4,4.0,0.9,versicolor
7.9,2.4,5.1,1.1,versicolor
5.9,2.6,4.1,1.9,versicolor
5.3,2.2,3.6,1.8,versicolor
5.6,2.7,2.4,1.2,versicolor
5.8,1.6,5.3,0.8,versicolor
5.8,2.8,3.3,1.5,versicolor
7.3,2.1,4.1,1.0,versicolor
5.9,2.9,4.7,1.4,versicolor
5.6,3.4,3.4,1.6,versicolor
8.5,3.1,3.9,0.7,versicolor
5.0,3.0,3.3,0.8,versicolor
4.4,4.0,5.0,1.7,versicolor
4.2,1.6,3.7,1.4,versicolor
5.4,2.8,4.4,0.9,versicolor
5.7,3.6,6.3,1.3,versicolor
6.2,1.5,2.2,1.4,versicolor
3.2,1.7,4.2,1.4,versicolor
5.8,1.9,4.1,1.8,versicolor
8.3,2.4,2.8,1.3,versicolor
5.7,2.6,4.1,1.5,versicolor
8.4,3.2,3.2,0.8,versicolor
3.0,2.0,4.9,1.7,versicolor
6.0,3.0,4.1,1.5,versicolor
6.3,2.5,4.4,1.3,versicolor
7.8,2.1,6.4,1.3,versicolor
3.8,2.0,3.9,1.1,versicolor
6.9,3.6,4.2,0.7,versicolor
7.0,1.4,4.0,1.4,versicolor
4.8,2.7,3.8,1.3,versicolor
6.7,3.3,6.2,0.7,versicolor
6.2,2.9,5.5,1.0,versicolor
5.8,4.0,6.1,1.5,versicolor
6.4,2.5,3.6,1.5,versicolor
5.0,1.4,2.6,1.2,versicolor
6.2,3.1,5.7,1.1,versicolor
5.7,2.5,4.9,1.0,versicolor
5.4,2.6,4.2,2.5,virginica
4.6,3.6,4.8,2.7,virginica
6.3,3.2,8.0,2.2,virginica
